University,intCol2018,intCol2017,intCol2016,acaCol2018,acaCol2017,acaCol2016,pub2018,pub2017,pub2016,cit2018,cit2017,cit2016,fwCitImp2018,fwCitImp2017,fwCitImp2016,pubTCP2018,pubTCP2017,pubTCP2016,pubTJP2018,pubTJP2017,pubTJP2016,citPP2018,citPP2017,citPP2016,authors2018,authors2017,authors2016,citPA2018,citPA2017,citPA2016,pubPA2018,pubPA2017,pubPA2016,h5Index,class
"Hokkaido University",33.9,30.2,30.3,4.8,5.8,5.6,4389.0,4464.0,4323.0,11869.0,24671.0,39537.0,0.98,1.0,1.09,14.0,12.9,14.2,31.2,31.7,35.0,2.7,5.5,9.1,4976.0,5186.0,4932.0,2.385249196141479,4.757231006556113,8.016423357664234,0.8820337620578779,0.8607790204396452,0.8765206812652068,87.0,2
"Kyushu University",33.6,33.1,32.1,6.0,5.4,5.5,4981.0,5072.0,5028.0,15271.0,30196.0,48301.0,1.15,1.13,1.21,14.6,14.4,14.5,30.1,31.8,32.8,3.1,6.0,9.6,5513.0,5672.0,5599.0,2.7699981861055685,5.323695345557122,8.62671905697446,0.9035008162524941,0.8942172073342737,0.8980175031255582,102.0,2
"Aalto University",61.9,60.4,59.6,5.4,6.2,5.7,3113.0,2992.0,3113.0,10429.0,20610.0,39512.0,1.58,1.64,1.8,18.1,18.1,18.6,45.3,43.4,43.7,3.4,6.9,12.7,2572.0,2506.0,2559.0,4.054821150855365,8.224261771747805,15.44040640875342,1.2103421461897357,1.1939345570630486,1.2164908167252833,100.0,2
"University of California at Santa Barbara",45.5,45.0,43.3,6.4,6.1,6.8,3549.0,3457.0,3289.0,17806.0,36769.0,58451.0,1.98,2.04,2.28,26.2,28.5,29.2,50.5,52.4,52.1,5.0,10.6,17.8,2992.0,2944.0,2830.0,5.95120320855615,12.489470108695652,20.65406360424028,1.1861631016042782,1.1742527173913044,1.162190812720848,137.0,2
"University of Maryland College Park",42.1,40.2,40.8,6.5,6.3,6.5,6820.0,6797.0,6720.0,30786.0,67470.0,102070.0,1.86,1.98,2.1,19.8,22.7,23.0,45.7,47.0,48.7,4.5,9.9,15.2,5745.0,5720.0,5670.0,5.358746736292428,11.795454545454545,18.001763668430335,1.1871192341166232,1.1882867132867132,1.1851851851851851,167.0,2
"Université de Montréal",53.9,52.7,50.6,4.6,4.1,4.4,5641.0,5573.0,5350.0,22579.0,51802.0,77401.0,1.81,1.98,2.13,18.1,20.3,21.6,34.2,37.7,38.5,4.0,9.3,14.5,6272.0,6283.0,6016.0,3.599968112244898,8.24478752188445,12.865857712765957,0.8993941326530612,0.8869966576476206,0.8892952127659575,159.0,2
"RWTH Aachen University",45.7,44.0,43.5,9.5,9.1,9.4,5818.0,5564.0,5448.0,23410.0,41424.0,69266.0,1.55,1.51,1.58,18.5,19.1,19.0,36.8,39.7,38.7,4.0,7.4,12.7,6084.0,5952.0,5775.0,3.8477975016436554,6.959677419354839,11.994112554112554,0.9562787639710717,0.9348118279569892,0.9433766233766234,127.0,2
"CentraleSupélec",54.3,54.3,51.3,8.1,8.3,8.6,2010.0,2061.0,1890.0,4058.0,9771.0,13734.0,1.22,1.27,1.36,9.3,10.9,11.0,30.4,30.0,31.7,2.0,4.7,7.3,1641.0,1637.0,1505.0,2.472882388787325,5.968845448992059,9.125581395348837,1.2248628884826325,1.259010384850336,1.255813953488372,62.0,2
"McMaster University",51.2,50.8,50.6,4.5,5.0,4.6,5181.0,5106.0,4965.0,20737.0,49314.0,78100.0,1.97,2.04,2.27,17.5,20.7,20.7,32.9,36.9,35.9,4.0,9.7,15.7,4913.0,4842.0,4619.0,4.220842662324445,10.184634448574968,16.90842173630656,1.0545491553022592,1.0545229244114003,1.074907988742152,153.0,2
"University of Pittsburgh",36.0,33.7,33.0,4.5,4.5,4.7,9228.0,8874.0,8716.0,43541.0,89374.0,142523.0,1.97,2.0,2.26,20.4,23.5,23.7,41.5,43.5,44.2,4.7,10.1,16.4,9452.0,9242.0,9205.0,4.606538298772747,9.670417658515472,15.483215643671917,0.9763013118916631,0.9601817788357498,0.9468766974470396,184.0,2
"University of Technology Sydney",63.9,59.6,56.3,2.5,2.3,2.7,4242.0,3503.0,3104.0,16873.0,26530.0,32949.0,1.84,1.76,1.64,19.1,18.9,18.9,42.7,41.2,40.3,4.0,7.6,10.6,2500.0,2181.0,1869.0,6.7492,12.164144887666207,17.629213483146067,1.6968,1.6061439706556626,1.6607811663991439,94.0,2
"Michigan State University",39.1,37.5,37.5,3.2,3.5,3.0,6315.0,6121.0,5807.0,25124.0,46961.0,68503.0,1.77,1.81,1.69,17.9,18.4,19.0,39.5,42.0,41.1,4.0,7.7,11.8,5954.0,5503.0,5145.0,4.219684245885119,8.533708886062147,13.314480077745383,1.0606315082297615,1.1123023805197165,1.1286686103012633,130.0,2
"Aarhus University",61.6,58.7,57.6,5.9,5.7,5.7,6858.0,6716.0,6305.0,30831.0,59757.0,92263.0,1.94,1.9,2.04,20.5,21.7,22.0,41.7,41.7,42.7,4.5,8.9,14.6,6417.0,6207.0,5888.0,4.804581580177653,9.627356210729822,15.669667119565217,1.0687237026647967,1.0820041888190752,1.0708220108695652,146.0,2
"Newcastle University",57.1,53.4,52.6,6.1,6.2,5.7,4468.0,4364.0,4082.0,20000.0,41909.0,56737.0,1.86,2.05,1.99,20.6,22.1,22.7,42.2,43.9,42.9,4.5,9.6,13.9,3873.0,3821.0,3681.0,5.163955589981926,10.96807118555352,15.41347459929367,1.1536276788019624,1.1421093954462183,1.10893778864439,125.0,2
"Technical University of Berlin",47.9,46.2,46.4,5.8,6.0,6.7,2996.0,2978.0,2804.0,9452.0,19708.0,27345.0,1.46,1.43,1.53,15.4,16.4,16.7,34.2,36.1,35.6,3.2,6.6,9.8,2621.0,2683.0,2543.0,3.6062571537581074,7.345508758852032,10.75304758159654,1.1430751621518505,1.109951546775997,1.1026346834447502,89.0,2
"University of York",52.4,50.6,46.8,5.2,5.5,5.6,3043.0,2951.0,2916.0,10999.0,20000.0,37231.0,1.73,1.68,1.91,17.3,18.7,17.8,42.5,42.6,40.3,3.6,6.8,12.8,2489.0,2441.0,2401.0,4.419043792687827,8.193363375665712,15.506455643481882,1.2225793491361994,1.2089307660794757,1.214493960849646,99.0,2
"Polytechnic University of Milan",48.7,46.7,44.6,6.1,5.5,6.3,4619.0,4541.0,4244.0,13527.0,24540.0,35387.0,1.58,1.45,1.38,14.0,13.4,14.1,29.6,31.3,31.9,2.9,5.4,8.3,3632.0,3428.0,3312.0,3.7243942731277535,7.158693115519253,10.684480676328503,1.2717511013215859,1.3246791131855309,1.2814009661835748,84.0,2
"Hanyang University",32.6,29.9,29.2,4.7,4.7,5.4,4043.0,3854.0,3732.0,14637.0,36620.0,47530.0,1.17,1.43,1.37,18.0,18.9,16.5,42.2,40.0,36.1,3.6,9.5,12.7,4009.0,3748.0,3745.0,3.6510351708655526,9.770544290288154,12.69158878504673,1.008480917934647,1.028281750266809,0.9965287049399199,103.0,2
"University of Basel",67.0,64.3,65.4,9.0,8.1,8.1,4132.0,4093.0,3786.0,22449.0,41919.0,63117.0,2.11,1.99,2.14,23.3,24.6,24.4,42.0,44.6,43.5,5.4,10.2,16.7,4063.0,4065.0,4464.0,5.525227664287472,10.312177121771217,14.139112903225806,1.0169825252276643,1.0068880688806887,0.8481182795698925,137.0,2
"Indian Institute of Technology Bombay",28.4,27.2,27.4,4.0,4.3,5.8,2808.0,2604.0,2312.0,7227.0,18046.0,16523.0,0.98,1.25,0.98,12.2,13.3,12.3,28.7,33.1,32.7,2.6,6.9,7.1,2923.0,2685.0,2446.0,2.472459801573726,6.721042830540037,6.7551103843009,0.9606568593910366,0.9698324022346368,0.9452166802943581,67.0,2
"University of Lausanne",60.0,57.7,56.9,4.6,5.4,4.1,4085.0,3915.0,3739.0,16942.0,37871.0,49025.0,1.64,1.9,1.66,19.2,22.0,22.4,38.1,41.5,42.9,4.1,9.7,13.1,4048.0,3910.0,4451.0,4.185276679841897,9.685677749360615,11.014378791282859,1.0091403162055337,1.0012787723785166,0.8400359469782072,120.0,2
"Cardiff University",54.9,51.7,51.0,5.3,5.1,5.2,4267.0,4008.0,3969.0,19027.0,40269.0,67323.0,1.94,1.96,2.16,19.3,21.7,21.3,40.8,43.6,40.1,4.5,10.0,17.0,3679.0,3347.0,3370.0,5.171785811361783,12.031371377352853,19.97715133531157,1.1598260396846969,1.1974902898117716,1.1777448071216616,123.0,2
"University of Vienna",64.2,63.0,64.3,3.5,3.0,3.3,3619.0,3617.0,3430.0,13455.0,23882.0,41788.0,1.61,1.38,1.62,17.5,17.3,18.9,35.9,36.2,37.2,3.7,6.6,12.2,3174.0,3068.0,2985.0,4.239130434782608,7.784224250325945,13.99932998324958,1.1402016383112792,1.1789439374185138,1.1490787269681741,103.0,2
"Emory University",33.8,32.6,31.1,5.0,4.9,5.2,6472.0,6303.0,6102.0,31218.0,66669.0,107148.0,2.18,2.14,2.4,21.1,23.9,23.4,39.2,41.8,42.1,4.8,10.6,17.6,6566.0,6478.0,6008.0,4.754492841912884,10.291602346403211,17.83422103861518,0.9856838257691136,0.9729854893485643,1.0156458055925432,180.0,2
"University of Minnesota",37.2,36.4,35.3,4.3,4.3,4.7,10372.0,10119.0,9706.0,43465.0,85346.0,136822.0,1.79,1.72,1.82,18.9,20.4,22.4,42.0,43.0,44.5,4.2,8.4,14.1,9913.0,9490.0,9162.0,4.384646423887824,8.993256059009484,14.933638943462126,1.0463028346615555,1.0662802950474184,1.059375682165466,177.0,2
"Instituto Tecnológico de Estudios Superiores de Monterrey",48.5,48.6,50.9,1.5,1.4,1.9,1183.0,1085.0,810.0,3134.0,5254.0,5830.0,1.13,1.07,1.19,12.5,12.0,10.7,25.7,24.1,24.7,2.6,4.8,7.2,1313.0,1089.0,950.0,2.3869002284843868,4.824609733700643,6.136842105263158,0.900990099009901,0.9963269054178145,0.8526315789473684,46.0,2
"Universiti Putra Malaysia",40.9,40.0,38.3,0.7,0.5,0.6,3377.0,3385.0,3242.0,6621.0,14849.0,21333.0,0.82,0.96,1.01,9.1,10.3,9.6,15.5,14.9,16.0,2.0,4.4,6.6,4399.0,4102.0,4088.0,1.5051147988179132,3.619941491955144,5.218444227005871,0.7676744714707888,0.8252072159921989,0.7930528375733855,66.0,2
"École Normale Supérieure de Lyon",58.5,57.1,59.1,4.9,3.7,5.1,1661.0,1562.0,1584.0,6409.0,12116.0,21050.0,1.38,1.33,1.58,18.9,22.1,20.5,35.3,40.8,42.6,3.9,7.8,13.3,1629.0,1607.0,1584.0,3.934315531000614,7.5395146235220905,13.289141414141413,1.0196439533456108,0.9719975108898569,1.0,84.0,2
"Universiti Kebangsaan Malaysia",31.2,33.1,29.7,0.9,1.2,1.1,3580.0,3178.0,3181.0,7881.0,16626.0,20842.0,1.02,1.24,1.08,9.3,9.1,8.0,14.1,15.6,14.5,2.2,5.2,6.6,4219.0,3656.0,3678.0,1.8679781938848068,4.547592997811816,5.666666666666667,0.8485423086039345,0.8692560175054704,0.8648722131593257,65.0,2
"Hebrew University of Jerusalem",49.2,47.2,49.1,2.5,2.5,2.2,3447.0,3299.0,3257.0,11905.0,22630.0,34785.0,1.54,1.39,1.45,15.4,16.8,16.4,37.7,41.9,45.1,3.5,6.9,10.7,3610.0,3539.0,3398.0,3.2977839335180055,6.394461712348121,10.236904061212478,0.9548476454293628,0.932184232834134,0.9585050029429076,102.0,2
"University of Bergen",66.3,63.9,62.0,6.4,6.9,7.4,3383.0,3265.0,3123.0,15540.0,33098.0,50285.0,1.99,2.19,2.39,19.9,20.5,22.8,41.1,41.9,40.2,4.6,10.1,16.1,2865.0,2855.0,2786.0,5.424083769633508,11.592994746059544,18.049174443646805,1.1808027923211168,1.1436077057793346,1.1209619526202441,125.0,2
"University of Exeter",59.0,54.4,52.7,4.5,4.3,4.3,3572.0,3252.0,3015.0,17027.0,29335.0,42229.0,2.08,1.9,1.87,23.5,23.8,23.5,47.7,46.7,47.4,4.8,9.0,14.0,2645.0,2397.0,2256.0,6.437429111531191,12.238214434710054,18.718528368794328,1.3504725897920604,1.3566958698372966,1.336436170212766,112.0,2
"University of Barcelona",52.5,51.9,49.6,5.2,5.1,4.7,7698.0,7572.0,7126.0,36457.0,72767.0,102308.0,1.88,1.83,1.85,19.6,21.0,21.6,34.9,37.4,38.6,4.7,9.6,14.4,9248.0,8993.0,8657.0,3.942149653979239,8.091515623262538,11.817950791267183,0.8323961937716263,0.841988213054598,0.8231488968464826,170.0,2
"Universiti Sains Malaysia",36.0,35.2,34.7,1.6,1.5,1.4,3494.0,3455.0,2943.0,6895.0,17967.0,21878.0,1.01,1.3,1.12,8.8,9.1,8.2,11.8,13.3,13.7,2.0,5.2,7.4,4039.0,3949.0,3449.0,1.707105719237435,4.5497594327677895,6.343287909538997,0.8650656102995791,0.8749050392504432,0.8532908089301247,68.0,2
"Case Western Reserve University",33.0,30.9,30.3,4.5,4.5,4.8,4623.0,4550.0,4427.0,21886.0,45895.0,70199.0,2.02,1.95,2.13,18.6,21.0,22.4,35.4,38.7,39.1,4.7,10.1,15.9,5277.0,4966.0,4815.0,4.147432253174152,9.241844542891663,14.579231568016615,0.8760659465605458,0.9162303664921466,0.9194184839044652,150.0,2
"Université catholique de Louvain",62.1,60.0,61.5,4.2,5.4,5.8,3298.0,3204.0,3186.0,15315.0,27561.0,45031.0,1.75,1.71,1.76,21.0,20.9,20.3,41.3,37.3,39.6,4.6,8.6,14.1,3079.0,3042.0,3017.0,4.974017538161741,9.060157790927022,14.925754060324826,1.0711269892822346,1.0532544378698225,1.0560159098442161,119.0,2
"University of Florida",40.3,39.2,38.5,3.7,4.0,3.8,9502.0,9076.0,8439.0,33374.0,68498.0,99963.0,1.48,1.55,1.57,17.1,17.5,18.0,37.9,37.1,38.7,3.5,7.5,11.8,9449.0,8978.0,8402.0,3.532013969732247,7.629538872800178,11.89752439895263,1.0056090591596993,1.0109155713967477,1.004403713401571,152.0,2
"University of Tubingen",54.3,53.2,54.8,7.3,7.4,7.2,4375.0,4198.0,4238.0,19286.0,38139.0,62199.0,1.62,1.73,1.76,19.8,23.0,21.9,38.5,41.7,43.7,4.4,9.1,14.7,4567.0,4324.0,4268.0,4.222903437705277,8.820305272895467,14.573336457357076,0.9579592730457631,0.9708603145235892,0.992970946579194,126.0,2
"University of Freiburg",53.8,50.9,51.7,5.5,6.1,5.6,4389.0,4195.0,4172.0,19583.0,38927.0,59657.0,1.73,1.78,1.86,20.6,23.2,23.5,39.8,40.2,44.1,4.5,9.3,14.3,4723.0,4481.0,4338.0,4.146305314418802,8.687123409953136,13.752189949285386,0.9292822358670336,0.9361749609462173,0.9617335177501153,125.0,2
"University of Rochester",39.7,38.8,35.6,5.7,5.4,5.6,3838.0,3622.0,3510.0,17704.0,35030.0,48656.0,1.94,1.92,1.87,21.0,23.3,23.4,37.9,41.2,41.8,4.6,9.7,13.9,3932.0,3627.0,3577.0,4.5025432349949135,9.658119658119658,13.60246016214705,0.9760935910478128,0.9986214502343534,0.9812692200167739,141.0,2
"University of Bath",53.4,50.4,46.9,4.9,5.3,4.9,2149.0,2200.0,1953.0,9145.0,19310.0,24272.0,1.61,1.84,1.9,19.1,21.2,19.3,43.9,44.0,42.8,4.3,8.8,12.4,1725.0,1667.0,1576.0,5.301449275362319,11.58368326334733,15.401015228426395,1.2457971014492755,1.3197360527894422,1.239213197969543,91.0,2
"National Tsing Hua University",43.8,40.7,39.0,3.2,4.4,3.6,2306.0,2359.0,2417.0,9168.0,21455.0,36679.0,1.43,1.58,1.72,18.5,17.4,18.9,42.8,45.9,48.8,4.0,9.1,15.2,2707.0,2765.0,2773.0,3.3867750277059474,7.7594936708860756,13.227190768121169,0.851865533801256,0.8531645569620253,0.8716191849981969,94.0,2
"Queen's University Belfast",62.6,60.2,58.7,5.3,4.9,5.2,2881.0,2836.0,2708.0,10976.0,25961.0,36983.0,1.71,1.94,1.96,18.4,20.7,20.7,38.3,42.1,40.7,3.8,9.2,13.7,2476.0,2420.0,2334.0,4.432956381260097,10.727685950413223,15.845329905741217,1.1635702746365104,1.171900826446281,1.1602399314481577,100.0,2
"University of Waterloo",53.2,51.7,50.5,4.2,3.5,3.6,4613.0,4409.0,4286.0,15799.0,33509.0,50089.0,1.52,1.62,1.62,16.5,18.2,17.6,37.0,39.0,39.3,3.4,7.6,11.7,3961.0,3687.0,3630.0,3.9886392325170412,9.088418768646596,13.79862258953168,1.1646048977530927,1.1958231624627067,1.1807162534435263,104.0,2
"University of Otago",55.4,53.1,52.8,2.0,3.2,1.9,3178.0,2997.0,2968.0,10212.0,23821.0,35530.0,1.57,1.83,2.04,14.8,16.5,14.9,35.1,36.6,35.6,3.2,7.9,12.0,2932.0,2810.0,2755.0,3.4829467939972716,8.477224199288257,12.89655172413793,1.0839017735334242,1.0665480427046263,1.0773139745916516,102.0,2
"Sant'Anna Scuola Universitaria Superiore Pisa",47.8,49.3,43.8,6.4,5.4,5.0,808.0,741.0,678.0,3147.0,4947.0,6479.0,2.08,1.58,1.58,20.7,18.1,16.5,31.6,36.2,29.1,3.9,6.7,9.6,589.0,595.0,572.0,5.34295415959253,8.314285714285715,11.326923076923077,1.371816638370119,1.2453781512605042,1.1853146853146854,47.0,2
"University of Bologna",50.6,47.4,47.6,4.5,4.5,4.4,6835.0,6695.0,6450.0,31086.0,58322.0,93715.0,1.85,1.86,1.97,19.5,20.7,21.4,34.6,34.5,35.6,4.5,8.7,14.5,6035.0,5934.0,5729.0,5.150952775476387,9.828446241995282,16.358003141909585,1.1325600662800333,1.1282440175261206,1.1258509338453482,152.0,2
"Technische Universität Dresden",49.4,48.3,48.8,6.7,7.2,7.3,4940.0,4926.0,4918.0,21547.0,40775.0,62154.0,1.69,1.59,1.62,19.5,20.0,20.1,37.3,37.8,40.1,4.4,8.3,12.6,4996.0,4805.0,4828.0,4.312850280224179,8.485952133194589,12.873653686826843,0.988791032826261,1.0251821019771072,1.0186412593206298,133.0,2
"University of Liverpool",61.0,58.2,57.1,8.3,7.8,7.1,4562.0,4513.0,4176.0,22621.0,42337.0,64924.0,2.03,1.96,2.19,21.1,22.8,22.1,43.7,46.7,44.7,5.0,9.4,15.5,3784.0,3899.0,3399.0,5.978065539112051,10.858425237240318,19.100912032950866,1.2056025369978858,1.157476275968197,1.2285966460723743,132.0,2
"Indian Institute of Technology Delhi",18.1,19.3,21.2,2.2,2.3,2.7,2628.0,2538.0,2076.0,7143.0,12915.0,16944.0,1.21,1.05,1.14,14.1,14.0,15.3,27.7,28.0,32.2,2.7,5.1,8.2,2276.0,2110.0,1813.0,3.1384007029876977,6.12085308056872,9.345835631549917,1.1546572934973638,1.2028436018957347,1.1450634307777166,61.0,2
"Erasmus University Rotterdam",57.1,55.6,54.5,5.6,5.5,5.8,5644.0,5669.0,5333.0,26835.0,65892.0,93346.0,2.22,2.42,2.49,22.7,24.0,26.3,43.1,45.0,45.7,4.8,11.6,17.5,5397.0,5218.0,5052.0,4.972206781545303,12.62782675354542,18.477038796516233,1.0457661663887345,1.0864315829819855,1.0556215360253365,172.0,2
"Indian Institute of Science Bangalore",30.5,28.6,27.5,2.8,2.4,2.8,3089.0,2850.0,2612.0,9448.0,15911.0,22144.0,1.12,1.05,1.0,16.6,13.9,13.3,36.0,36.7,36.5,3.1,5.6,8.5,3024.0,2889.0,2578.0,3.124338624338624,5.507442021460713,8.589604344453065,1.021494708994709,0.9865005192107996,1.013188518231187,67.0,2
"University College Dublin",61.7,60.7,57.7,7.7,7.4,6.8,3702.0,3474.0,3380.0,16278.0,31054.0,45014.0,1.74,1.84,1.79,18.6,20.3,19.7,42.2,41.0,42.7,4.4,8.9,13.3,3410.0,3176.0,3117.0,4.773607038123167,9.777707808564232,14.441450112287455,1.0856304985337244,1.0938287153652393,1.0843760025665705,113.0,2
"King Abdulaziz University",81.3,83.5,83.3,1.0,1.6,2.0,4652.0,4675.0,4725.0,30670.0,62657.0,82355.0,2.26,2.24,1.96,28.0,29.2,27.5,33.6,33.2,34.6,6.6,13.4,17.4,2798.0,2708.0,2538.0,10.961401000714796,23.137740029542098,32.44877856579984,1.6626161543959972,1.7263663220088625,1.8617021276595744,168.0,2
"University of Twente",56.1,55.0,52.3,6.3,7.6,8.0,2726.0,2555.0,2572.0,8320.0,17287.0,28011.0,1.42,1.5,1.56,15.5,17.3,17.5,37.3,42.4,41.1,3.1,6.8,10.9,2366.0,2246.0,2282.0,3.5164835164835164,7.696794300979519,12.27475898334794,1.1521555367709213,1.1375779162956368,1.1270815074496057,88.0,2
"Universitat Autònoma de Barcelona",54.8,53.1,51.7,5.3,5.2,4.7,7341.0,6973.0,6628.0,35572.0,65989.0,98642.0,1.96,1.81,2.0,20.8,21.9,21.7,38.0,38.8,39.2,4.8,9.5,14.9,8545.0,8072.0,7769.0,4.162902282036279,8.175049554013874,12.696872184322306,0.8590988882387361,0.8638503468780971,0.8531342515124212,166.0,2
"Texas A and M University",41.6,39.2,39.5,3.9,3.7,4.1,9278.0,8933.0,8086.0,31560.0,60995.0,82220.0,1.59,1.52,1.45,16.5,17.1,16.9,35.6,37.1,37.6,3.4,6.8,10.2,8691.0,8377.0,7737.0,3.6313427683810837,7.28124626954757,10.626857955279824,1.0675411345069612,1.0663722096215829,1.0451079229675584,132.0,2
"Universidad de Chile",55.3,53.9,53.8,1.5,1.6,1.9,3152.0,3102.0,3088.0,9639.0,18240.0,27820.0,1.19,1.21,1.16,13.7,13.8,13.9,23.8,25.1,25.0,3.1,5.9,9.0,4211.0,4127.0,4008.0,2.2890049869389695,4.41967530894112,6.941117764471058,0.748515791973403,0.7516355706324206,0.7704590818363274,85.0,2
"Stockholm University",67.1,65.1,65.9,3.5,2.9,3.4,3726.0,3500.0,3290.0,19472.0,34469.0,58457.0,1.94,1.9,2.02,23.1,25.3,26.3,45.6,46.5,48.0,5.2,9.8,17.8,2824.0,2862.0,2699.0,6.895184135977337,12.04367575122292,21.658762504631344,1.3194050991501416,1.2229210342417889,1.218969988884772,130.0,2
"Vienna University of Technology",60.1,58.1,57.3,6.3,7.1,7.5,2925.0,2916.0,2932.0,9768.0,17910.0,27297.0,1.59,1.37,1.42,16.0,16.4,15.6,29.9,32.6,33.8,3.3,6.1,9.3,2482.0,2342.0,2427.0,3.935535858178888,7.647309991460291,11.247218788627936,1.178485092667204,1.2450896669513236,1.208075813761846,80.0,2
"Universidad Autónoma de Madrid",47.8,47.3,47.0,3.0,3.1,3.0,6496.0,6179.0,5849.0,31579.0,52880.0,82713.0,1.8,1.65,1.85,20.1,19.5,21.1,33.8,35.8,36.0,4.9,8.6,14.1,7606.0,7485.0,7211.0,4.151853799631869,7.064796259185036,11.470392455970046,0.8540625821719695,0.8255177020708083,0.8111218971016503,146.0,2
"University of Aberdeen",60.0,60.0,58.6,5.2,6.7,5.8,2050.0,2250.0,2340.0,8574.0,26938.0,40584.0,1.84,2.59,2.45,19.8,23.3,22.6,41.1,45.1,45.4,4.2,12.0,17.3,1828.0,1872.0,1859.0,4.690371991247265,14.389957264957266,21.831091984938137,1.1214442013129102,1.2019230769230769,1.2587412587412588,114.0,2
"Vrije Universiteit Brussel",62.7,60.4,57.1,4.5,4.1,4.1,2809.0,2638.0,2609.0,11252.0,21623.0,29722.0,1.69,1.7,1.64,19.5,20.7,19.0,40.8,41.0,41.6,4.0,8.2,11.4,2426.0,2337.0,2372.0,4.638087386644683,9.252460419341036,12.53035413153457,1.1578730420445178,1.1287976037655114,1.0999156829679595,101.0,2
"Waseda University",35.2,31.9,30.9,6.7,7.2,8.5,2489.0,2441.0,2346.0,6346.0,13093.0,18575.0,1.14,1.14,1.17,11.1,12.0,12.4,28.8,30.0,29.6,2.5,5.4,7.9,2534.0,2419.0,2325.0,2.504340962904499,5.4125671765192225,7.989247311827957,0.9822415153906867,1.0090946672178587,1.0090322580645161,83.0,2
"University of Göttingen",56.4,54.0,52.3,4.0,4.7,3.6,4222.0,3975.0,3854.0,20982.0,34897.0,56302.0,1.81,1.63,1.76,21.2,23.5,25.1,41.3,41.6,43.4,5.0,8.8,14.6,4111.0,3853.0,3822.0,5.103867672099246,9.057098364910459,14.731030873888017,1.0270007297494528,1.0316636387230729,1.0083725798011511,129.0,2
"University of Cape Town",64.8,60.7,59.8,4.4,4.6,4.5,3827.0,3699.0,3682.0,16414.0,32561.0,48984.0,1.97,2.01,2.08,18.5,16.3,17.7,33.9,34.7,34.2,4.3,8.8,13.3,3154.0,3101.0,3032.0,5.20418516169943,10.500161238310222,16.155672823218996,1.2133798351299936,1.1928410190261205,1.2143799472295516,124.0,2
"University of Virginia",34.2,32.0,32.8,4.6,4.0,4.9,5323.0,5003.0,4667.0,24197.0,42148.0,70803.0,1.9,1.86,2.23,19.3,20.2,22.6,39.2,39.4,41.6,4.5,8.4,15.2,5058.0,4724.0,4485.0,4.783906682483195,8.922099915325996,15.786622073578595,1.0523922499011467,1.059060118543607,1.0405797101449274,136.0,2
"Keio University",22.4,22.2,23.1,6.7,6.2,6.9,3442.0,3379.0,3222.0,8661.0,20266.0,29425.0,1.09,1.19,1.19,11.2,11.9,13.7,28.6,29.1,32.0,2.5,6.0,9.1,3620.0,3657.0,3436.0,2.3925414364640885,5.541700847689363,8.563736903376018,0.950828729281768,0.9239814055236533,0.9377182770663562,86.0,2
